File,TimeStamp,General Channel [V], General Channel [V],K-Type TC [V], K-Type TC [degC],K-Type TC 2 [V], K-Type TC 2 [degC],K-Type TC 3 [V], K-Type TC 3 [degC],K-Type TC 4 [V], K-Type TC 4 [degC],K-Type TC 5 [V], K-Type TC 5 [degC],K-Type TC 6 [V], K-Type TC 6 [degC],K-Type TC 7 [V], K-Type TC 7 [degC]
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test03-110V\Image_0000_0.tiff,1356.247545,0.00491380720816894,0.00491380720816894,0.005904926268752,143.37353339408,0.00482489004104674,117.149901952795,0.00585485836415639,142.157868360378,0.00109840742757365,26.6696901586917,0.00581909557515952,141.289536193448,0.00554729837878337,134.69021172478,0.000762237211003137,18.50736778955
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test03-110V\Image_0445_0.tiff,1621.453407,0.011250973418413,0.011250973418413,0.0137727398480618,334.406610118673,0.00665594483768611,161.608508899609,0.00737120061762337,178.975152238209,2.76423162113438,67116.4442372356,0.013758434732463,334.059277251901,0.00955988330423136,232.117080854323,0.000683559075210039,16.5970370223041
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test03-110V\Image_0655_0.tiff,1746.792271,0.0112295157450149,0.0112295157450149,0.0137226719434662,333.190945084971,0.00687052157166729,166.818501901189,0.00724245457723466,175.849156437261,2.75507634715118,66894.1512025015,0.0139157910040492,337.879938786393,0.0098102228272094,238.195406022832,0.000848067904595608,20.591364990182
